2452275,12/31/2001
2452276,1/1/2002
2452277,1/2/2002
2452278,1/3/2002
2452279,1/4/2002
2452280,1/5/2002
2452281,1/6/2002
2452282,1/7/2002
2452283,1/8/2002
2452284,1/9/2002
2452285,1/10/2002
2452286,1/11/2002
2452287,1/12/2002
2452288,1/13/2002
2452289,1/14/2002
2452290,1/15/2002
2452291,1/16/2002
2452292,1/17/2002
2452293,1/18/2002
2452294,1/19/2002
2452295,1/20/2002
2452296,1/21/2002
2452297,1/22/2002
2452298,1/23/2002
2452299,1/24/2002
2452300,1/25/2002
2452301,1/26/2002
2452302,1/27/2002
2452303,1/28/2002
2452304,1/29/2002
2452305,1/30/2002
2452306,1/31/2002
2452307,2/1/2002
2452308,2/2/2002
2452309,2/3/2002
2452310,2/4/2002
2452311,2/5/2002
2452312,2/6/2002
2452313,2/7/2002
2452314,2/8/2002
2452315,2/9/2002
2452316,2/10/2002
2452317,2/11/2002
2452318,2/12/2002
2452319,2/13/2002
2452320,2/14/2002
2452321,2/15/2002
2452322,2/16/2002
2452323,2/17/2002
2452324,2/18/2002
2452325,2/19/2002
2452326,2/20/2002
2452327,2/21/2002
2452328,2/22/2002
2452329,2/23/2002
2452330,2/24/2002
2452331,2/25/2002
2452332,2/26/2002
2452333,2/27/2002
2452334,2/28/2002
2452335,3/1/2002
2452336,3/2/2002
2452337,3/3/2002
2452338,3/4/2002
2452339,3/5/2002
2452340,3/6/2002
2452341,3/7/2002
2452342,3/8/2002
2452343,3/9/2002
2452344,3/10/2002
2452345,3/11/2002
2452346,3/12/2002
2452347,3/13/2002
2452348,3/14/2002
2452349,3/15/2002
2452350,3/16/2002
2452351,3/17/2002
2452352,3/18/2002
2452353,3/19/2002
2452354,3/20/2002
2452355,3/21/2002
2452356,3/22/2002
2452357,3/23/2002
2452358,3/24/2002
2452359,3/25/2002
2452360,3/26/2002
2452361,3/27/2002
2452362,3/28/2002
2452363,3/29/2002
2452364,3/30/2002
2452365,3/31/2002
2452366,4/1/2002
2452367,4/2/2002
2452368,4/3/2002
2452369,4/4/2002
2452370,4/5/2002
2452371,4/6/2002
2452372,4/7/2002
2452373,4/8/2002
2452374,4/9/2002
2452375,4/10/2002
2452376,4/11/2002
2452377,4/12/2002
2452378,4/13/2002
2452379,4/14/2002
2452380,4/15/2002
2452381,4/16/2002
2452382,4/17/2002
2452383,4/18/2002
2452384,4/19/2002
2452385,4/20/2002
2452386,4/21/2002
2452387,4/22/2002
2452388,4/23/2002
2452389,4/24/2002
2452390,4/25/2002
2452391,4/26/2002
2452392,4/27/2002
2452393,4/28/2002
2452394,4/29/2002
2452395,4/30/2002
2452396,5/1/2002
2452397,5/2/2002
2452398,5/3/2002
2452399,5/4/2002
2452400,5/5/2002
2452401,5/6/2002
2452402,5/7/2002
2452403,5/8/2002
2452404,5/9/2002
2452405,5/10/2002
2452406,5/11/2002
2452407,5/12/2002
2452408,5/13/2002
2452409,5/14/2002
2452410,5/15/2002
2452411,5/16/2002
2452412,5/17/2002
2452413,5/18/2002
2452414,5/19/2002
2452415,5/20/2002
2452416,5/21/2002
2452417,5/22/2002
2452418,5/23/2002
2452419,5/24/2002
2452420,5/25/2002
2452421,5/26/2002
2452422,5/27/2002
2452423,5/28/2002
2452424,5/29/2002
2452425,5/30/2002
2452426,5/31/2002
2452427,6/1/2002
2452428,6/2/2002
2452429,6/3/2002
2452430,6/4/2002
2452431,6/5/2002
2452432,6/6/2002
2452433,6/7/2002
2452434,6/8/2002
2452435,6/9/2002
2452436,6/10/2002
2452437,6/11/2002
2452438,6/12/2002
2452439,6/13/2002
2452440,6/14/2002
2452441,6/15/2002
2452442,6/16/2002
2452443,6/17/2002
2452444,6/18/2002
2452445,6/19/2002
2452446,6/20/2002
2452447,6/21/2002
2452448,6/22/2002
2452449,6/23/2002
2452450,6/24/2002
2452451,6/25/2002
2452452,6/26/2002
2452453,6/27/2002
2452454,6/28/2002
2452455,6/29/2002
2452456,6/30/2002
2452457,7/1/2002
2452458,7/2/2002
2452459,7/3/2002
2452460,7/4/2002
2452461,7/5/2002
2452462,7/6/2002
2452463,7/7/2002
2452464,7/8/2002
2452465,7/9/2002
2452466,7/10/2002
2452467,7/11/2002
2452468,7/12/2002
2452469,7/13/2002
2452470,7/14/2002
2452471,7/15/2002
2452472,7/16/2002
2452473,7/17/2002
2452474,7/18/2002
2452475,7/19/2002
2452476,7/20/2002
2452477,7/21/2002
2452478,7/22/2002
2452479,7/23/2002
2452480,7/24/2002
2452481,7/25/2002
2452482,7/26/2002
2452483,7/27/2002
2452484,7/28/2002
2452485,7/29/2002
2452486,7/30/2002
2452487,7/31/2002
2452488,8/1/2002
2452489,8/2/2002
2452490,8/3/2002
2452491,8/4/2002
2452492,8/5/2002
2452493,8/6/2002
2452494,8/7/2002
2452495,8/8/2002
2452496,8/9/2002
2452497,8/10/2002
2452498,8/11/2002
2452499,8/12/2002
2452500,8/13/2002
2452501,8/14/2002
2452502,8/15/2002
2452503,8/16/2002
2452504,8/17/2002
2452505,8/18/2002
2452506,8/19/2002
2452507,8/20/2002
2452508,8/21/2002
2452509,8/22/2002
2452510,8/23/2002
2452511,8/24/2002
2452512,8/25/2002
2452513,8/26/2002
2452514,8/27/2002
2452515,8/28/2002
2452516,8/29/2002
2452517,8/30/2002
2452518,8/31/2002
2452519,9/1/2002
2452520,9/2/2002
2452521,9/3/2002
2452522,9/4/2002
2452523,9/5/2002
2452524,9/6/2002
2452525,9/7/2002
2452526,9/8/2002
2452527,9/9/2002
2452528,9/10/2002
2452529,9/11/2002
2452530,9/12/2002
2452531,9/13/2002
2452532,9/14/2002
2452533,9/15/2002
2452534,9/16/2002
2452535,9/17/2002
2452536,9/18/2002
2452537,9/19/2002
2452538,9/20/2002
2452539,9/21/2002
2452540,9/22/2002
2452541,9/23/2002
2452542,9/24/2002
2452543,9/25/2002
2452544,9/26/2002
2452545,9/27/2002
2452546,9/28/2002
2452547,9/29/2002
2452548,9/30/2002
2452549,10/1/2002
2452550,10/2/2002
2452551,10/3/2002
2452552,10/4/2002
2452553,10/5/2002
2452554,10/6/2002
2452555,10/7/2002
2452556,10/8/2002
2452557,10/9/2002
2452558,10/10/2002
2452559,10/11/2002
2452560,10/12/2002
2452561,10/13/2002
2452562,10/14/2002
2452563,10/15/2002
2452564,10/16/2002
2452565,10/17/2002
2452566,10/18/2002
2452567,10/19/2002
2452568,10/20/2002
2452569,10/21/2002
2452570,10/22/2002
2452571,10/23/2002
2452572,10/24/2002
2452573,10/25/2002
2452574,10/26/2002
2452575,10/27/2002
2452576,10/28/2002
2452577,10/29/2002
2452578,10/30/2002
2452579,10/31/2002
2452580,11/1/2002
2452581,11/2/2002
2452582,11/3/2002
2452583,11/4/2002
2452584,11/5/2002
2452585,11/6/2002
2452586,11/7/2002
2452587,11/8/2002
2452588,11/9/2002
2452589,11/10/2002
2452590,11/11/2002
2452591,11/12/2002
2452592,11/13/2002
2452593,11/14/2002
2452594,11/15/2002
2452595,11/16/2002
2452596,11/17/2002
2452597,11/18/2002
2452598,11/19/2002
2452599,11/20/2002
2452600,11/21/2002
2452601,11/22/2002
2452602,11/23/2002
2452603,11/24/2002
2452604,11/25/2002
2452605,11/26/2002
2452606,11/27/2002
2452607,11/28/2002
2452608,11/29/2002
2452609,11/30/2002
2452610,12/1/2002
2452611,12/2/2002
2452612,12/3/2002
2452613,12/4/2002
2452614,12/5/2002
2452615,12/6/2002
2452616,12/7/2002
2452617,12/8/2002
2452618,12/9/2002
2452619,12/10/2002
2452620,12/11/2002
2452621,12/12/2002
2452622,12/13/2002
2452623,12/14/2002
2452624,12/15/2002
2452625,12/16/2002
2452626,12/17/2002
2452627,12/18/2002
2452628,12/19/2002
2452629,12/20/2002
2452630,12/21/2002
2452631,12/22/2002
2452632,12/23/2002
2452633,12/24/2002
2452634,12/25/2002
2452635,12/26/2002
2452636,12/27/2002
2452637,12/28/2002
2452638,12/29/2002
2452639,12/30/2002
2452640,12/31/2002
